id,text,date
"2063767110736908757","Some of the most impactful work we do at X is invisible to the user. 

In the last 12 months, we have rewritten almost every core part of the app. 

We will soon be shipping a 90% reduction in our web app’s load times.","2026-06-07"
"2063726514118811788","","2026-06-07"
"2063085668604227684","Reports of our death were greatly exaggerated.","2026-06-06"
"2063068077324136849","","2026-06-06"
"2062938073873494445","Every morning, the moment my eyes open, I wake up to 40 unread Slack messages that effectively say:

“If you don’t fix this in the next 5 minutes, the world will implode and the app will cease to exist.”","2026-06-05"
"2062349438534992141","We're testing two new ways to share posts from X to Instagram & Snapchat Stories

1. Share videos","2026-06-04"
"2062349440502128818","2. Share a post with a reply—for those moments when you want to show off an incredible ratio","2026-06-04"
"2062349442087628876","Credit to 
@_trevorholliday
 for working on this side project — plus design from 
@nicoduc
 & 
@alexabraham
. Early preview now on iPhone.","2026-06-04"
"2061617139484876849","Commentary is one of the most important pillars of X. And sometimes the best way to share your thoughts is with video.

Today we're launching a whole new way to make them:
React with Video

Tap the repost button and start recording with green screen, split screen, or","2026-06-02"
"2061617915783454908","Credit to the team that made it happen

@alxkikalia
 
@i_aliullov
 
@nicoduc
 
@allegrajacchia
  
@z49547
 
@striedinger
 
@geruk","2026-06-02"
"2061309697513455636","Me showing up to the office after travelling all week","2026-06-01"
"2060683142739235198","Meet me at the beer machine. It’s near the rice machine.","2026-05-30"
"2060624312550535531","Headed home now. Here’s a quick recap of my Japan trip.","2026-05-30"
"2060528024622346263","Going on Japanese TV. Wish me luck.","2026-05-30"
"2060357240041685467","Investors don't fund ideas. We fund the person most likely to figure it out when the idea is wrong.","2026-05-29"
"2059033747358625950","","2026-05-25"
"2058688004584296889","Good morning Tokyo","2026-05-24"
"2058691095966666883","","2026-05-24"
"2058275858331455815","It all boils down to:

1. Providing the best tools to create content
2. Incentivizing the highest quality content 
3. Ranking that content so it finds its audience

Nothing else matters.","2026-05-23"
"2058020001823793265","Over the past month, we have identified a number of large accounts that have been programmatically reuploading content from smaller accounts to game the revenue share program and circumvent crediting the original author.

We are now identifying these posts and allocating the","2026-05-23"
"2058067133788278831","Credit to 
@saurabhverma
 for leading the development of this","2026-05-23"
"2057109852321992793","Next week I’m headed to Tokyo to meet with the X Japan team.

What is the most American thing I can bring them?","2026-05-20"
"2057130018283942100","","2026-05-20"
"2056834955469103466","The Grok button on posts will now show a tooltip when tapping it and give you some options","2026-05-19"
"2056580384029352236","Shipped.

Credit: 
@LingyunGao4
, 
@ZachWarunek","2026-05-19"
"2056161407088111791","This is equivalent to trying to sell a cop drugs while he’s in uniform in his police car.","2026-05-17"
"2055746807188300117","Posting hog","2026-05-16"
"2054589079321481300","I posted 10 AI videos yesterday, reposted someone else’s TikTok, and schedule-posted 4 jokes that went viral in 2016. Why am I not famous yet? App is broken.","2026-05-13"
